ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"23",40323,-0.0231,0.6163,0.3584,0.0253,31641,0.4255,0.5745,0.1389,0.4102,0.0153,0.0196,0.002,
"24",42236,0.0232,0.4189,0.5579,0.0232,33441,0.752,0.248,0.0629,0.1288,0.0381,0.0148,0.0017,
"25",40607,-0.0162,0.6555,0.3276,0.0169,30364,0.3407,0.6593,0.1236,0.5132,0.0103,0.0222,0.0014,
"26",41463,0.0045,0.386,0.5911,0.0229,29540,0.7096,0.2904,0.0807,0.1291,0.0607,0.0213,0.0015,
"27",42108,0.0201,0.4011,0.576,0.0229,32826,0.6757,0.3243,0.0853,0.1867,0.0319,0.0194,0.0013,
"28",40584,-0.0168,0.3633,0.6148,0.0219,30601,0.7023,0.2977,0.0811,0.1761,0.0191,0.0198,0.0011,
"29",42241,0.0233,0.2872,0.6972,0.0156,33159,0.762,0.238,0.0311,0.1747,0.0065,0.0245,0.0006,
"30",41619,0.0083,0.2537,0.731,0.0153,31956,0.7492,0.2508,0.0474,0.1753,0.0079,0.0207,0.0003,
"31",42128,0.0206,0.7146,0.2689,0.0165,32266,0.3534,0.6466,0.097,0.5108,0.0305,0.0175,0.0014,
"32",40616,-0.016,0.3692,0.6102,0.0205,32415,0.686,0.314,0.0795,0.188,0.0284,0.0181,0.0019,
"33",40894,-0.0093,0.3109,0.6712,0.0179,32173,0.7381,0.2619,0.042,0.177,0.0257,0.017,0.0007,
"34",42058,0.0189,0.3599,0.6201,0.0199,32027,0.6732,0.3268,0.0725,0.1838,0.0497,0.0216,0.0009,
"35",41682,0.0098,0.3012,0.6787,0.0202,30911,0.7629,0.2371,0.062,0.1107,0.0416,0.0182,0.0012,
"36",41908,0.0153,0.3335,0.6457,0.0208,31374,0.6673,0.3327,0.1077,0.1852,0.0186,0.0267,0.0014,
"37",41805,0.0128,0.325,0.6528,0.0222,31394,0.6906,0.3094,0.0755,0.1749,0.0419,0.0197,0.0011,
"38",41175,-0.0025,0.1905,0.7912,0.0183,31717,0.865,0.135,0.0358,0.0578,0.0163,0.0221,0.0012,
"39",40693,-0.0142,0.256,0.7257,0.0183,31333,0.7572,0.2428,0.0802,0.1365,0.006,0.0227,0.0009,
"40",40290,-0.0239,0.3571,0.6249,0.0181,31811,0.6525,0.3475,0.0671,0.2605,0.0059,0.0183,0.0007,
"41",40426,-0.0206,0.6062,0.3798,0.014,32092,0.4327,0.5673,0.0216,0.5242,0.0097,0.0154,0.0015,
"42",40423,-0.0207,0.3927,0.5914,0.0159,31739,0.657,0.343,0.0175,0.3042,0.007,0.0141,0.0014,
"43",40341,-0.0227,0.3509,0.6303,0.0188,31575,0.7289,0.2711,0.0314,0.1819,0.0129,0.0434,0.0012,
"44",40454,-0.02,0.3894,0.5923,0.0182,31290,0.7763,0.2237,0.0678,0.0954,0.0429,0.0144,0.001,
"45",40294,-0.0238,0.4132,0.571,0.0158,31237,0.6159,0.3841,0.0511,0.3108,0.006,0.0181,0.0006,
"46",42078,0.0194,0.4187,0.5567,0.0246,32936,0.6785,0.3215,0.0721,0.2024,0.0248,0.0244,0.0014,
"47",42120,0.0204,0.271,0.706,0.0231,32285,0.8052,0.1948,0.0433,0.1068,0.0154,0.0282,0.0006,
"48",42231,0.0231,0.3568,0.6196,0.0236,32542,0.7422,0.2578,0.0637,0.1418,0.0291,0.0222,0.0013,
"49",40633,-0.0156,0.644,0.3393,0.0167,31331,0.4076,0.5924,0.0458,0.5217,0.0106,0.0176,0.002,
"50",41038,-0.0058,0.5799,0.4075,0.0126,32951,0.4431,0.5569,0.0282,0.5063,0.0086,0.016,0.0013,
"51",40539,-0.0179,0.6779,0.3102,0.0119,31188,0.3312,0.6688,0.0341,0.6122,0.0136,0.0163,0.002,
"52",42210,0.0226,0.5787,0.4028,0.0185,32731,0.4856,0.5144,0.0495,0.4357,0.0145,0.0192,0.0014,
"53",40677,-0.0146,0.3259,0.6592,0.0149,31851,0.7042,0.2958,0.0407,0.2323,0.0046,0.0205,0.0004,
"54",40407,-0.0211,0.5673,0.4211,0.0116,32549,0.4432,0.5568,0.0218,0.5005,0.0086,0.0311,0.001,
"55",40334,-0.0229,0.5402,0.4503,0.0095,30841,0.4423,0.5577,0.0221,0.4906,0.0048,0.0447,0.0009,
"56",42307,0.0249,0.3284,0.6551,0.0164,33848,0.8138,0.1862,0.0507,0.0799,0.0299,0.0179,0.0013,
"57",40261,-0.0246,0.5224,0.468,0.0096,31288,0.4714,0.5286,0.0225,0.4893,0.0058,0.0136,0.0009,
"58",40943,-0.0081,0.3058,0.6812,0.013,31808,0.7249,0.2751,0.0472,0.193,0.0108,0.0233,0.0014,
"59",40380,-0.0217,0.6047,0.3839,0.0114,31143,0.406,0.594,0.0217,0.5527,0.0075,0.0152,0.0013,
"60",40927,-0.0085,0.3587,0.6296,0.0117,31488,0.6444,0.3556,0.0269,0.3045,0.0107,0.0147,0.0005,
"61",42264,0.0239,0.3402,0.6413,0.0185,35410,0.7466,0.2534,0.0821,0.1276,0.0194,0.0201,0.0012,
"62",40691,-0.0142,0.5632,0.426,0.0109,31409,0.4595,0.5405,0.0179,0.5066,0.0047,0.0142,0.0009,
"63",40290,-0.0239,0.3657,0.6174,0.0169,31565,0.6572,0.3428,0.0316,0.256,0.0422,0.0146,0.0007,
"64",41157,-0.0029,0.5293,0.4602,0.0105,32677,0.4883,0.5117,0.0249,0.4652,0.0094,0.0153,0.0008,
"65",40970,-0.0075,0.3051,0.6782,0.0167,32335,0.733,0.267,0.0229,0.2178,0.0072,0.0187,0.0007,
"66",40255,-0.0248,0.3995,0.5751,0.0254,28528,0.7566,0.2434,0.0566,0.0827,0.0867,0.0151,0.0007,
"67",41338,0.0015,0.3847,0.5982,0.0171,31626,0.6291,0.3709,0.0395,0.2814,0.0311,0.0202,0.0028,
"68",42124,0.0205,0.3151,0.6679,0.017,34013,0.8253,0.1747,0.0622,0.0655,0.0204,0.0221,0.0019,
"69",41241,-0.0009,0.3403,0.6325,0.0272,30893,0.7404,0.2596,0.0471,0.1336,0.0579,0.0214,0.0019,
"70",42153,0.0212,0.5909,0.3932,0.0159,32700,0.4559,0.5441,0.0389,0.4848,0.0116,0.0157,0.0009,
"71",40721,-0.0135,0.3709,0.6053,0.0239,30414,0.7372,0.2628,0.0351,0.173,0.0358,0.0193,0.0013,
"72",42041,0.0185,0.7097,0.2655,0.0248,37310,0.6188,0.3812,0.0449,0.267,0.0599,0.0127,0.0017,
"73",41017,-0.0063,0.7561,0.2259,0.018,33182,0.3274,0.6726,0.0448,0.6021,0.0187,0.015,0.0019,
"74",41779,0.0121,0.8177,0.1635,0.0188,34788,0.3828,0.6172,0.0318,0.5565,0.0232,0.0125,0.0024,
"75",40422,-0.0207,0.4918,0.4844,0.0239,31680,0.7046,0.2954,0.0727,0.1786,0.0331,0.0151,0.0023,
"76",41667,0.0094,0.795,0.1906,0.0145,31744,0.2216,0.7784,0.0779,0.6662,0.0328,0.0166,0.0023,
"77",40489,-0.0191,0.6791,0.3047,0.0163,29951,0.3414,0.6586,0.0505,0.5742,0.0325,0.0152,0.0029,
"78",41126,-0.0037,0.556,0.4254,0.0186,32331,0.4998,0.5002,0.1036,0.3298,0.059,0.0165,0.0037,
"79",40423,-0.0207,0.722,0.2593,0.0187,29700,0.3222,0.6778,0.0575,0.574,0.0401,0.0173,0.003,
"80",40554,-0.0175,0.3797,0.5994,0.0209,30598,0.8653,0.1347,0.0329,0.055,0.0308,0.0116,0.0011,
"81",40327,-0.023,0.3249,0.6534,0.0217,32967,0.783,0.217,0.038,0.1349,0.0229,0.0204,0.0013,
"82",40382,-0.0217,0.545,0.4396,0.0154,32065,0.4259,0.5741,0.0625,0.4912,0.0087,0.0173,0.0015,
"83",40381,-0.0217,0.2973,0.6818,0.0208,31810,0.7131,0.2869,0.0599,0.1863,0.0196,0.0225,0.0014,
"84",41452,0.0042,0.329,0.653,0.018,31551,0.6635,0.3365,0.0655,0.2325,0.0121,0.0294,0.002,
"85",40468,-0.0196,0.3617,0.6143,0.0241,32170,0.7558,0.2442,0.0371,0.1553,0.0316,0.0194,0.0022,
"86",40365,-0.0221,0.3557,0.6252,0.0191,31684,0.6866,0.3134,0.0636,0.22,0.0048,0.0252,0.0015,
"87",41767,0.0119,0.2514,0.7252,0.0235,30924,0.8167,0.1833,0.0503,0.0845,0.0301,0.0186,0.0013,
"88",41566,0.007,0.2982,0.6753,0.0266,31955,0.7348,0.2652,0.0589,0.1573,0.02,0.0323,0.0013,
"89",41438,0.0039,0.4169,0.5565,0.0266,33832,0.6701,0.3299,0.0909,0.1877,0.0339,0.0227,0.0009,
"90",40768,-0.0123,0.6239,0.3669,0.0091,32282,0.4018,0.5982,0.0179,0.5584,0.0105,0.0136,0.0013,
"91",40597,-0.0165,0.553,0.4364,0.0107,31843,0.4637,0.5363,0.0202,0.493,0.0065,0.0184,0.0009,
"92",41913,0.0154,0.4036,0.5707,0.0257,32099,0.6181,0.3819,0.0822,0.2161,0.0495,0.0248,0.0027,
"93",40638,-0.0155,0.5612,0.4252,0.0136,32321,0.476,0.524,0.0353,0.4623,0.0093,0.0201,0.0013,
"94",42158,0.0213,0.3834,0.5904,0.0262,32193,0.7034,0.2966,0.0492,0.1977,0.0241,0.0261,0.0026,
"95",40415,-0.0209,0.7005,0.2911,0.0084,32262,0.3103,0.6897,0.0181,0.6465,0.0139,0.0158,0.0014,
"96",40983,-0.0071,0.2859,0.6874,0.0267,30108,0.7449,0.2551,0.0805,0.1336,0.0099,0.0314,0.0009,
"97",42057,0.0189,0.3572,0.6226,0.0202,31737,0.6957,0.3043,0.0411,0.2217,0.011,0.0301,0.0018,
"98",41807,0.0128,0.4227,0.5494,0.0279,31035,0.6438,0.3562,0.0623,0.226,0.0453,0.0237,0.0036,
"99",41034,-0.0059,0.3619,0.614,0.0241,31109,0.7609,0.2391,0.0797,0.0943,0.0411,0.018,0.0025,
"100",41676,0.0097,0.3752,0.6054,0.0194,30973,0.6288,0.3712,0.0443,0.2802,0.0212,0.0253,0.0027,
"101",40465,-0.0197,0.6212,0.3685,0.0103,31710,0.3737,0.6263,0.0217,0.5897,0.0074,0.0142,0.0013,
"102",40338,-0.0228,0.5223,0.4612,0.0165,30649,0.5042,0.4958,0.0403,0.412,0.0167,0.0293,0.0015,
"103",40263,-0.0246,0.5849,0.4039,0.0112,31911,0.4759,0.5241,0.0411,0.4613,0.0105,0.0123,0.0015,
"104",42277,0.0242,0.3178,0.6688,0.0134,36903,0.8313,0.1687,0.0356,0.101,0.0103,0.0183,0.0012,
"105",40569,-0.0172,0.3026,0.6835,0.0139,32796,0.7644,0.2356,0.0467,0.1558,0.0093,0.0244,0.0013,
"106",42059,0.0189,0.2935,0.6919,0.0146,37237,0.9045,0.0955,0.0264,0.0289,0.0158,0.0182,0.0023,
"107",42040,0.0185,0.375,0.6109,0.0141,35377,0.7325,0.2675,0.0963,0.1204,0.0267,0.0185,0.0018,
"108",40316,-0.0233,0.3422,0.6444,0.0133,34433,0.8259,0.1741,0.0276,0.124,0.0072,0.0137,0.0006,
"109",42020,0.018,0.6473,0.3323,0.0204,32179,0.3619,0.6381,0.1205,0.4703,0.0343,0.0209,0.0033,
"110",40297,-0.0238,0.4526,0.5227,0.0248,33452,0.8761,0.1239,0.0294,0.059,0.0186,0.011,0.0009,
"111",41665,0.0094,0.7895,0.187,0.0235,34955,0.519,0.481,0.035,0.4113,0.0228,0.0139,0.0031,
"112",41846,0.0138,0.4208,0.559,0.0202,32903,0.849,0.151,0.0276,0.0843,0.0236,0.0106,0.001,
"113",42302,0.0248,0.705,0.2735,0.0215,32395,0.3751,0.6249,0.1557,0.4302,0.0253,0.0234,0.0022,
"114",41956,0.0164,0.3945,0.5803,0.0253,32338,0.7592,0.2408,0.0452,0.1363,0.0333,0.0227,0.001,
"115",41176,-0.0025,0.4889,0.4876,0.0235,34349,0.8197,0.1803,0.0355,0.1091,0.016,0.0155,0.001,
"116",41966,0.0167,0.507,0.4748,0.0181,34070,0.6289,0.3711,0.052,0.2801,0.0238,0.0159,0.0013,
"117",42176,0.0218,0.3839,0.5921,0.0239,31639,0.6684,0.3316,0.0883,0.1856,0.0259,0.0289,0.0026,
"118",41375,0.0024,0.3922,0.5918,0.0159,33386,0.7671,0.2329,0.1269,0.074,0.0184,0.0149,0.0005,
"119",42061,0.019,0.5203,0.4533,0.0264,34600,0.743,0.257,0.0421,0.171,0.0238,0.0143,0.0024,
"120",42284,0.0244,0.3724,0.6131,0.0145,34846,0.781,0.219,0.1052,0.0834,0.0167,0.0141,0.0008,
"121",42219,0.0228,0.6266,0.3591,0.0144,32868,0.4309,0.5691,0.0733,0.4688,0.0148,0.018,0.002,
"122",41770,0.0119,0.5486,0.4388,0.0126,32752,0.4438,0.5562,0.0945,0.444,0.0078,0.0153,0.0014,
"123",40807,-0.0114,0.4098,0.576,0.0142,35006,0.7891,0.2109,0.1063,0.0789,0.0111,0.0124,0.0007,
"124",42251,0.0236,0.3991,0.5806,0.0203,33514,0.7099,0.2901,0.077,0.1744,0.0229,0.0171,0.0026,
"",41278,0.0499,0.4235,0.5577,0.0188,32375,0.6486,0.3514,0.0576,0.2528,0.0221,0.0199,0.0015,
